id,name,googlePlaceId,resolvedRestaurantId,ratingsMismatch,circleScoreInconsistencies,requestCount,errors
99091721,"Pizza Jerk - NE",ChIJbR2qUcSmlVQRrAH7hs63TZw,google_ChIJbR2qUcSmlVQRrAH7hs63TZw,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
99191721,"Pizza Roma",ChIJO8E7VKcKlVQR1q8-oY7A7tM,google_ChIJO8E7VKcKlVQR1q8-oY7A7tM,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
16,"Brooklyn Pizza",,,false,0,0,""
21,"Tony's Italian Pizza",,,false,0,0,""
24,"Mama Rosa Pizza Kitchen",,,false,0,0,""
99094156,"Sushi Kata Japanese Restaurant",ChIJOeQSffB0lVQRD2NYOB8rdV4,google_ChIJOeQSffB0lVQRD2NYOB8rdV4,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
99194156,"Sushi Island Japanese Restaurant",ChIJu-KaFz8ewVQRWj4obSC55oA,google_ChIJu-KaFz8ewVQRWj4obSC55oA,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
17,"Manhattan Sushi Bar",,,false,0,0,""
23,"Sakura Sushi",,,false,0,0,""
99294156,"Gen Sushi",ChIJG4POEaW1lVQRlEGYo3AiHDw,google_ChIJG4POEaW1lVQRlEGYo3AiHDw,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
27,"Test Restaurant",,,false,0,0,""
28,"Test Restaurant Fix",,,false,0,0,""
31,"Test Restaurant A",,,false,0,0,""
32,"Test Restaurant B",,,false,0,0,""
33,"Test Restaurant A",,,false,0,0,""
99098473,"Cafe Enza",ChIJq55cIiQfllQRaSsobEGkTB8,google_ChIJq55cIiQfllQRaSsobEGkTB8,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
99198473,"Cafe Du Berry",ChIJ-52JR_sKlVQRO1hdc0Cmc-M,google_ChIJ-52JR_sKlVQRO1hdc0Cmc-M,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
99298473,"Dayville Cafe",ChIJa15ULeaWu1QRvRG5vdCZeMI,google_ChIJa15ULeaWu1QRvRG5vdCZeMI,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
99398473,"Dean's Homestyle Cafe",ChIJtSBZXf51lVQR8Nvf2CUdWRc,google_ChIJtSBZXf51lVQR8Nvf2CUdWRc,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
99498473,"Vida Cafe",ChIJYfaXTO-_wFQR7KuLIwox04A,google_ChIJYfaXTO-_wFQR7KuLIwox04A,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
21,"Tony's Italian Pizza",,,false,0,0,""
99003310,"Rosmarino Osteria Italiana",ChIJwyu6eExHlVQRtuFj7rgFgcs,google_ChIJwyu6eExHlVQRtuFj7rgFgcs,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
99103310,"Marzano Italian Restaurant",ChIJs7cdqYcBkVQRw2fY7HwH6wM,google_ChIJs7cdqYcBkVQRw2fY7HwH6wM,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
99203310,"Due' Cucina Italian Restaurant - Roosevelt",ChIJIcYWwFMVkFQRKhUOloTixAw,google_ChIJIcYWwFMVkFQRKhUOloTixAw,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
99303310,"Nonni's Italian Bistro",ChIJs9Nfjb6hlFQRrDO9G4-6H5w,google_ChIJs9Nfjb6hlFQRrDO9G4-6H5w,false,0,0,"Ratings fetch failed: Request failed with status code 404; Circle score fetch failed: Request failed with status code 404"
